,descricao_do_imovel,bairro,cidade,estado,link_da_imagem,preco,suites,banheiros,m2
45,Empreendimento Marena no Centro de Balneário Camboriú,Rua 1910, 91 , Centro,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/632094026e83653d23613349_30.jpg,4980382.9411527775,171,3,66
46,Apartamento Triplex  Frente Mar em Balneário Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62c07b2f40626f75f7cef137_4.jpeg,21600000.0,7,7,155
47,"Apartamento no Centro de Balneário Camboriú  frente mar, Edifício Maria Luiza",Centro de Balneário Camboriú ,0,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62aa6674ff92095390fefe89_Untitled%20design%20(14).jpg,5850000.0,4,6,384
48,"Apartamento com 4 suítes no Edifício Pharos, Barra Sul, Balneário Camboriú",Barra Sul, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b0b658bc5f554e266179bc_1.jpg,12500000.0,4,4,230
49,Cobertura Duplex com 3 suítes no Centro de Balneário Camboriú,Centro de Balneário Camboriú , SC,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b51649036261c65be2219b_Untitled%20design%20(79).png,3250000.0,3,5,260
50,Terreno de 1373 m² no condomínio Arraial do Mar ,Rodovia Haroldo Soares Glavan, Florianópolis,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62f26ea53288e3a397c35c4e_14.jpg,1400000.0,0,3,157
51,Apartamento com 3 suítes modernas no Centro de B. Camboriú,Centro, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b508a2b25b1b6c8ba2a1ba_Untitled%20design%20(43).png,2376347.0,3,3,160
52,Apartamento no Olympo Tower no Centro de Balneário Camboriú,Rua 1141, 85. Centro , Balneário Camboriú,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/633c637cda71ca968ca2deb5_16.jpg,4699000.0,2,3,131
53,Cobertura na Barra Sul em Balneário Camboriú com 6 suítes,Barra Sul, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62bf54a5ab834436a1cf3af1_2.jpg,25400000.0,6,6,162
54,"Terreno à venda em São Judas, Itajaí ",Sao Judas, Itajaí , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/635ac9013bfed5a734fb9ae8_WhatsApp%20Image%202022-10-27%20at%2014.59.50.jpeg,1830000.0,0,3,165
55,Apartamento Frente Mar no Residencial Number One em Balneário Camboriú,Avenida Atlântica, 3924 , Barra Sul ,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62c08579926d5821c2f91871_2.jpg,7500000.0,3,4,209
56,Terreno à Venda em Vargem Pequena com 3.444m²  Florianópolis,Rodovia José Carlos Daux , Vargem Pequena , Florianópolis/SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/636bef0044ef170166bf8bd2_fsite.jpg,3000000.0,0,3,168
57,"Apartamentos no Yachthouse, com Vista Para o Mar em B. Camboriú",Centro de Balneário Camboriú,0,0,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62b51699910aad08c8902a70_Untitled%20design%20(80).png,8500000.0,4,4,171
58,"Apartamento com Vista Mar no Bairro Pioneiros, BC",Pioneiros, Balneário Camboriú , SC,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/62c08d480babd5d5c5bd6b72_7.jpg,7400000.0,3,4,174
59,Apartamento mobiliado com 2 Dormitórios na Praia Brava - Itajaí,Rua Suécia 286, Praia Brava, Itajaí,https://uploads-ssl.webflow.com/629007f9f06b5eda2376045d/63850b296e88949786147236_20.jpg,790000.0,1,2,64
